State,Year,Total_Revenues,Total_Sales,Total_Customers,Revenue_per_Customer,Sales_per_Customer,Disaster_Count,Extreme_Event_Count,Total_Property_Damage,Total_Crop_Damage,Total_Casualties
AK,2024,1340533.0,6046503.0,356597.0,3.759238019388834,16.956124140135785,4.0,319,10790000.0,0.0,6
AL,2024,10415173.6,87522932.0,2795343.0,3.725901830294171,31.31026568117043,1.0,1273,17396600.0,0.0,27
AR,2024,4786264.7,49895812.0,1720753.0,2.781494322543677,28.99649862589227,1.0,1246,115653300.0,1000.0,29
AZ,2024,11459306.3,89484553.0,3583829.0,3.197503647634974,24.968979546736186,7.0,582,39715500.0,0.0,99
CA,2024,66028063.2,331926163.0,23066904.0,2.862458837128728,14.389714501781427,15.0,2572,142295360.0,10.0,138
CO,2024,6853685.4,56801304.0,2979226.0,2.3004919398528343,19.06579225610947,3.0,1896,5062500.0,29222000.0,9
CT,2024,6602767.0,40395475.0,2117578.0,3.118074989445489,19.076263070356795,4.0,288,1238700.0,0.0,10
DC,2024,1711132.9,17053887.0,388809.0,4.400960111520052,43.8618627655224,0.0,28,68000.0,0.0,0
DE,2024,1543750.9,15282722.0,572286.0,2.6975164515644274,26.70469310799146,0.0,83,50000.0,0.0,3
FL,2024,31944662.6,255010900.0,11791478.0,2.709131340447737,21.6267121051322,9.0,1441,7185825250.0,415000000.0,88
GA,2024,17098668.700000003,150003965.0,5459009.0,3.132192802759622,27.478241014074165,4.0,1670,1589140600.0,1224100200.0,126
HI,2024,3394295.1,8881811.0,529303.0,6.412763766689401,16.78020151028806,1.0,180,22776000.0,10000.0,10
IA,2024,5130194.1,54930422.0,1710011.0,3.0000942099202867,32.12284716297147,3.0,2532,134224700.0,1391500.0,53
ID,2024,2507731.7,26369555.0,1021781.0,2.454275133321133,25.807443082226033,3.0,596,44301750.0,26000.0,17
IL,2024,16840545.0,220716905.0,7761318.0,2.169804793464203,28.4380700545964,1.0,2568,19887550.0,472000.0,37
IN,2024,11287389.5,99219607.0,3450420.0,3.2713088551538654,28.755805670034373,0.0,1093,60017750.0,61500.0,77
KS,2024,4624479.6,41258210.0,1586227.0,2.915395841830961,26.01028100013428,4.0,2572,12163000.0,17050000.0,27
KY,2024,7490330.0,74405871.0,2409509.0,3.1086540867869763,30.880096733400872,3.0,1754,14967150.0,1137650.0,55
LA,2024,8393525.0,95356829.0,2467243.0,3.4019855360821776,38.649143598745646,2.0,1311,231401250.0,88000.0,23
MA,2024,11874562.6,83231872.0,5205606.0,2.2811105181606135,15.988891975305085,1.0,314,275800.0,0.0,3
MD,2024,8836714.5,85641942.0,3156637.0,2.799407882502803,27.13075402714978,0.0,554,41081500.0,0.0,5
ME,2024,2262223.1,16608223.0,946004.0,2.3913462310941602,17.55618686601748,3.0,495,110875000.0,0.0,0
MI,2024,14034418.5,107837813.0,5090250.0,2.7571177250626198,21.185170276509012,1.0,701,68441500.0,0.0,27
MN,2024,7971414.8,64562108.0,2899051.0,2.749663527823415,22.27008355492884,1.0,1542,37325100.0,1365600.0,6
MO,2024,8604656.8,77776034.0,3347316.0,2.570613829109651,23.23534258492476,1.0,2362,120146250.0,19837000.0,20
MS,2024,5321276.9,48684612.0,1599687.0,3.3264487990463136,30.43383611919082,1.0,1363,30574000.0,135000.0,21
MT,2024,1685877.9000000001,18651929.0,692975.0,2.4328120062051304,26.915731447743426,4.0,1239,8039500.0,20000.0,13
NC,2024,15947716.1,136904526.0,5827720.0,2.736527509900956,23.49195328533286,4.0,1570,2138068900.0,128000.0,123
ND,2024,2359830.9,29769698.0,485894.0,4.856678411340745,61.26788558821471,4.0,717,46810000.0,15229250.0,13
NE,2024,3192606.2,35191045.0,1131588.0,2.8213503501274317,31.09881423274195,5.0,2040,170925500.0,192466000.0,113
NH,2024,2248818.5,17652732.0,1049235.0,2.1432934471305285,16.82438347939213,4.0,263,46339000.0,0.0,1
NJ,2024,11839644.700000001,99807507.0,4644157.0,2.549363576640497,21.49098469323927,0.0,719,255500.0,0.0,4
NM,2024,2779735.9,30296354.0,1093496.0,2.542063162553864,27.70595777213634,6.0,1068,562174000.0,0.0,8
NV,2024,4638041.7,47111320.0,1529813.0,3.031770353631457,30.795476309849636,6.0,490,196000.0,2500000.0,63
NY,2024,27647182.5,202650232.0,9429145.0,2.9320985624889637,21.491899000386567,7.0,2268,94494950.0,22000.0,20
OH,2024,17357635.8,269243900.0,9197425.0,1.8872277621182016,29.273834796152183,1.0,1461,36671250.0,157000.0,55
OK,2024,6549836.5,72083773.0,2197296.0,2.9808621596726157,32.80567251749423,7.0,3504,366341360.0,0.0,211
OR,2024,6628504.399999999,62876575.0,2142583.0,3.0936978404103828,29.346156018226598,13.0,431,52282900.0,0.0,44
PA,2024,17783528.6,230907049.0,7879271.0,2.2570017708491052,29.305636143242186,1.0,1981,58004150.0,1095000.0,10
RI,2024,1786194.9,11454930.0,673773.0,2.6510336567360224,17.00117101753855,3.0,57,55800.0,0.0,0
SC,2024,9148189.1,83961428.0,2998873.0,3.0505423537442233,27.997660454444052,4.0,1127,349163550.0,124091200.0,45
SD,2024,1481979.1,13637204.0,516156.0,2.8711844868605616,26.42070226830648,2.0,1936,101680000.0,221000.0,5
TN,2024,11217163.9,102917314.0,3710088.0,3.023422598062364,27.739857922507497,3.0,1677,194609900.0,5250000.0,45
TX,2024,49481096.6,505431317.0,14482271.0,3.4166669440172748,34.90000408085169,4.0,5678,558968250.0,78000.0,269
UT,2024,3459240.1,34688083.0,1429523.0,2.4198562037826603,24.265494853877833,1.0,524,3367500.0,22950000.0,27
VA,2024,14629579.8,143642388.0,4105306.0,3.563578403168972,34.98944731525494,2.0,1812,227178760.0,178676500.0,22
VT,2024,1005062.2,5458947.0,388511.0,2.586959442589785,14.05094579046668,6.0,350,26561000.0,0.0,3
WA,2024,9114338.7,92289441.0,3800796.0,2.3980078646683483,24.281608641979208,8.0,360,548976400.0,2000.0,25
WI,2024,8688891.9,68291424.0,3219048.0,2.699211661335898,21.214788968664028,0.0,1280,45823000.0,2228000.0,14
WV,2024,3643906.5999999996,32990570.0,1029473.0,3.5395844281491593,32.04607600199325,4.0,1575,19440450.0,44000.0,8
WY,2024,1573185.9,17216901.0,357453.0,4.401098605970575,48.16549588337488,5.0,803,26141000.0,0.0,4
